id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
128,128,512,3,4,129,5,1000,concatenating previous CA expansion,0.554081719142588,0.0281597561518104,0.711732421875,0.026355650760242,2023-10-11 12:50:14.088598
129,128,512,3,4,130,5,1000,concatenating previous CA expansion,0.6939219437028894,0.0259442610291554,0.780394921875,0.0249172313923029,2023-10-11 12:50:54.345077
130,128,512,3,4,131,5,1000,concatenating previous CA expansion,0.5151348834013819,0.0285410263018412,0.693641015625,0.0272751795328387,2023-10-11 12:51:34.279001
131,128,512,3,4,132,5,1000,concatenating previous CA expansion,0.6946304608982412,0.0269256909234101,0.78098515625,0.0262020008400591,2023-10-11 12:52:15.808247
132,128,512,3,4,133,5,1000,concatenating previous CA expansion,0.5186611887562814,0.0291069163203791,0.69540078125,0.0275614905458394,2023-10-11 12:53:01.982952
133,128,512,3,4,134,5,1000,concatenating previous CA expansion,0.5694247683731156,0.0260722557573188,0.7170515625,0.0246154038250187,2023-10-11 12:53:47.367438
134,128,512,3,4,135,5,1000,concatenating previous CA expansion,0.5000999842964824,0.0256466022685596,0.68747109375,0.0236981422822936,2023-10-11 12:54:34.454709
135,128,512,3,4,136,5,1000,concatenating previous CA expansion,0.7482188010364321,0.032565674673165,0.8199546875,0.0309027606014894,2023-10-11 12:55:19.802181
136,128,512,3,4,137,5,1000,concatenating previous CA expansion,0.514690625,0.0248548751374218,0.69352265625,0.0232931599543552,2023-10-11 12:56:01.959523
137,128,512,3,4,138,5,1000,concatenating previous CA expansion,0.5428392116834171,0.0406376843278593,0.705075,0.0379056227083813,2023-10-11 12:56:43.915899
138,128,512,3,4,139,5,1000,concatenating previous CA expansion,0.5276281348146985,0.0364344206692546,0.698594140625,0.0350479194643984,2023-10-11 12:57:28.364340
139,128,512,3,4,140,5,1000,concatenating previous CA expansion,0.5837457698649497,0.0327089392589817,0.723592578125,0.0317724140762726,2023-10-11 12:58:10.228077
140,128,512,3,4,141,5,1000,concatenating previous CA expansion,0.5071845320351759,0.0372165916773079,0.6899390625,0.0352527808078667,2023-10-11 12:58:51.819576
141,128,512,3,4,142,5,1000,concatenating previous CA expansion,0.4999257321765075,0.0384812460839723,0.687669921875,0.0367143360358121,2023-10-11 12:59:33.415529
